time,seconds_elapsed,AccelerationZ,AccelerationY,AccelerationX,GyroscopeZ,GyroscopeY,GyroscopeX,Label
1.73e+18,3.642045166,0.478341881,-0.384714772,0.456813209,-0.569427133,-0.688411653,-0.221272901,stretching
1.73e+18,3.651996094,0.701026309,-0.40879006,0.844285902,-0.504468679,-0.645913959,-0.260472208,stretching
1.73e+18,3.661947021,0.250665783,-0.397391298,1.422904997,-0.438222796,-0.478387505,-0.304038584,stretching
1.73e+18,3.671898193,-0.043807578,-0.303299641,1.539213309,-0.39437443,-0.297301084,-0.340337276,stretching
1.73e+18,3.681849121,-0.130168203,-0.080498017,1.413531458,-0.374293387,-0.194849536,-0.371099442,stretching
1.73e+18,3.691799316,0.046091305,0.145338445,1.243699792,-0.367423981,-0.164309502,-0.404822856,stretching
1.73e+18,3.701750244,0.270244928,0.26438568,1.100574858,-0.372557759,-0.189063594,-0.434283823,stretching
1.73e+18,3.711701172,0.522702855,0.310710794,1.001084191,-0.40100342,-0.176652014,-0.457590342,stretching
1.73e+18,3.7216521,0.555712705,0.288563844,0.863653596,-0.442658454,-0.130075991,-0.460735261,stretching
1.73e+18,3.731603027,0.603507307,0.280443081,0.91101967,-0.459230125,-0.088112682,-0.435775429,stretching
1.73e+18,3.741552979,0.61707859,0.156654205,1.437822434,-0.364086032,-0.139111429,-0.381177425,stretching
1.73e+18,3.75150415,0.568213875,0.179746911,2.228256334,-0.402666092,-0.133194506,-0.318942219,stretching
1.73e+18,3.761455078,0.442847958,0.548446952,1.861269965,-0.441348761,-0.193316162,-0.269711822,stretching
1.73e+18,3.77140625,0.530018,0.729289257,2.605892985,-0.433157563,-0.344621152,-0.219974056,stretching
1.73e+18,3.781356934,0.496410476,1.073797691,3.430407579,-0.356392205,-0.541549146,-0.145538181,stretching
1.73e+18,3.791306885,0.194132579,1.248118485,4.002670584,-0.238816917,-0.711428344,-0.041155905,stretching
1.73e+18,3.801258057,-0.132284318,1.165960426,4.207981852,-0.132651344,-0.776011646,0.068872064,stretching
1.73e+18,3.811208984,-0.282839621,0.871051013,3.835907365,-0.067989878,-0.732934892,0.147177145,stretching
1.73e+18,3.821160156,-0.227955354,0.425476406,3.12837752,-0.041356407,-0.650170743,0.189017013,stretching
1.73e+18,3.831111084,-0.048750149,0.128841484,2.368786502,-0.023165409,-0.590119898,0.19963561,stretching
1.73e+18,3.841061035,0.065263769,0.04077274,1.718788955,-0.003884921,-0.569948852,0.203649536,stretching
1.73e+18,3.851011963,0.068737436,0.005937573,1.130077212,0.013781397,-0.609952748,0.215156376,stretching
1.73e+18,3.860963379,0.046810266,0.017208909,0.635575274,0.041368015,-0.718957543,0.242456436,stretching
